# Time-averaged data for fix frdfij
# TimeStep Number-of-rows
# Row c_Rdfij[1] c_Rdfij[2] c_Rdfij[3] c_Rdfij[4] c_Rdfij[5] c_Rdfij[6] c_Rdfij[7]
0 200
145 3.6125 0.112874 6.28037 0.606491 4.73743 0.33631 5.51402
146 3.6375 0.148437 6.3053 0.478547 4.78212 0.464384 5.55763
147 3.6625 0.146418 6.33022 0.354027 4.81564 0.490785 5.60436
148 3.6875 0.144439 6.35514 0.116414 4.82682 0.387322 5.64174
149 3.7125 0.21375 6.39252 0 4.82682 0.382123 5.67913
150 3.7375 0.421801 6.46729 0 4.82682 0.377029 5.71651
151 3.7625 0.485583 6.55452 0 4.82682 0.248023 5.74143
152 3.7875 0.171141 6.58567 0.220696 4.84916 0.275355 5.76947
153 3.8125 0.371588 6.65421 0.326717 4.88268 0.271755 5.79751
154 3.8375 0.400104 6.72897 0.214983 4.90503 0.506649 5.85047
155 3.8625 0.36203 6.79751 0 4.90503 0.500112 5.90343
156 3.8875 0.227429 6.84112 0.523721 4.96089 0.261371 5.93146
157 3.9125 0.256608 6.89097 0.10341 4.97207 0.315384 5.96573
158 3.9375 0.506719 6.99065 0.102101 4.98324 0.311392 6
159 3.9625 0.375259 7.06542 0.30245 5.01676 0.559045 6.06231
160 3.9875 0.679376 7.20249 0.398226 5.06145 0.414043 6.10903
161 4.0125 0.548948 7.31464 0.196639 5.0838 0.29986 6.1433
162 4.0375 0.572291 7.43302 0.388424 5.12849 0.592316 6.21184
163 4.0625 0.446265 7.52648 0.191829 5.15084 0.212745 6.23676
164 4.0875 1.02859 7.74455 0.284234 5.18436 0.394032 6.28349
165 4.1125 0.812896 7.919 0.467982 5.24022 0.67471 6.36449
166 4.1375 1.08992 8.15576 0.647281 5.31844 0.307653 6.40187
167 4.1625 0.821823 8.33645 0.274084 5.35196 0.430622 6.45483
168 4.1875 1.68008 8.71028 0.361095 5.39665 0.425495 6.50779
169 4.2125 1.54952 9.05919 0.356821 5.44134 0.519392 6.57321
170 4.2375 1.64067 9.43302 0.176312 5.46369 0.733259 6.66667
171 4.2625 1.7566 9.83801 0.609874 5.5419 0.483122 6.72897
172 4.2875 1.5492 10.1994 0.516671 5.60894 0.740132 6.82555
173 4.3125 1.82171 10.6293 0.851163 5.72067 0.519183 6.89408
174 4.3375 1.87907 11.0779 0.588966 5.79888 0.629855 6.97819
175 4.3625 2.21879 11.6137 0.415882 5.85475 0.737964 7.07788
176 4.3875 1.83648 12.0623 0.493387 5.92179 0.752377 7.18069
177 4.4125 1.94183 12.5421 0.487812 5.98883 0.991834 7.31776
178 4.4375 2.19429 13.0903 0.803885 6.10056 0.757806 7.42368
179 4.4625 1.92321 13.5763 0.476942 6.1676 1.03585 7.57009
180 4.4875 1.41419 13.9377 0.707464 6.26816 0.893575 7.69782
181 4.5125 1.73615 14.3863 1.08834 6.42458 0.948362 7.83489
182 4.5375 1.69322 14.8287 0.461306 6.49162 0.93794 7.97196
183 4.5625 1.65113 15.2648 0.76044 6.60335 1.1807 8.14642
184 4.5875 1.39987 15.6386 1.20348 6.78212 1.35555 8.34891
185 4.6125 1.26934 15.9813 1.26487 6.97207 1.07272 8.5109
186 4.6375 1.43834 16.3738 0.956856 7.11732 1.28567 8.70717
187 4.6625 1.06157 16.6667 1.31071 7.31844 1.09021 8.87539
188 4.6875 1.47486 17.0779 1.29676 7.51955 1.07862 9.04361
189 4.7125 1.41503 17.4766 1.21176 7.7095 1.12649 9.22118
190 4.7375 1.09386 17.7882 1.4106 7.93296 1.52529 9.46417
191 4.7625 1.06076 18.0935 1.11666 8.11173 1.29647 9.6729
192 4.7875 1.07113 18.405 0.9669 8.26816 1.3787 9.8972
193 4.8125 1.22963 18.7664 1.50367 8.51397 1.23177 10.0997
194 4.8375 1.0491 19.0779 1.28524 8.72626 1.27533 10.3115
195 4.8625 1.55751 19.5452 1.339 8.94972 1.52213 10.567
196 4.8875 1.21274 19.9128 1.39161 9.18436 1.4331 10.81
197 4.9125 1.0987 20.2492 1.44307 9.43017 1.16394 11.0093
198 4.9375 0.785488 20.4922 1.2337 9.64246 1.38622 11.2492
199 4.9625 1.27605 20.891 2.31405 10.0447 1.33665 11.4829
200 4.9875 1.30277 21.3022 1.78182 10.3575 1.27035 11.7072
